name,gender
Aaliyah,female
Aaron,male
Abdul,male
Abdullah,male
Abdurrahman,male
Abel,male
Abigail,female
Acelya,female
Achim,male
Ada,female
Adam,male
Adea,female
Adel,male
Adela,female
Adele,female
Adelheid,female
Adelina,female
Adem,male
Adian,male
Adil,male
Adin,male
Adina,female
Adis,male
Adna,female
Adnan,male
Adolf,male
Adrian,male
Adriana,female
Adriano,male
Adrijan,male
Adrijana,female
Aeneas,male
Afra,female
Agnes,female
Ahmad,male
Ahmed,male
Ahmet,male
Aida,female
Aiden,male
Aileen,female
Aimee,female
Aischa,female
Aisha,female
Ajan,male
Ajdin,male
Ajla,female
Ajlin,female
Ajna,female
Akif,male
Akin,male
Alan,male
Alara,female
Alba,female
Alban,male
Albert,male
Albin,male
Albion,male
Aldin,male
Alea,female
Alejandro,male
Alejna,female
Aleksa,male
Aleksandar,male
Aleksander,male
Aleksandra,female
Aleksej,male
Alem,male
Alen,male
Alena,female
Alessa,female
Alessandra,female
Alessandro,male
Alessia,female
Alessio,male
Alex,male
Alexa,female
Alexandar,male
Alexander,male
Alexandra,female
Alexandru,male
Alexia,female
Alexis,male
Aleyna,female
Alfred,male
Ali,male
Alia,female
Alica,female
Alice,female
Alicia,female
Alim,male
Alin,female
Alina,female
Aline,female
Alisa,female
Alisha,female
Alissa,female
Alissia,female
Aliya,female
Aliyah,female
Allegra,female
Alma,female
Almin,male
Almina,female
Almir,male
Alois,male
Alp,male
Alparslan,male
Alper,male
Alperen,male
Altin,male
Alva,female
Alvin,male
Alwin,male
Alya,female
Alyssa,female
Amadeus,male
Amalia,female
Amanda,female
Amar,male
Amara,female
Amel,male
Amela,female
Amelia,female
Amelie,female
Amely,female
Amer,male
Amila,female
Amilia,female
Amin,male
Amina,female
Amine,female
Amir,male
Amira,female
Ammar,male
Amna,female
Amon,male
Amos,male
Amra,female
Amy,female
Ana,female
Anabel,female
Anabell,female
Anabella,female
Anais,female
Anas,male
Anastasia,female
Anastasija,female
Anatol,male
Andi,male
Andjela,female
Andjelina,female
Andre,male
Andrea,female
Andreas,male
Andrei,male
Andrej,male
Andrew,male
Andrija,male
Andrijana,female
Andru,male
Anel,male
Anes,male
Anesa,female
Angela,female
Angelika,female
Angelina,female
Angelique,female
Angelo,male
Anica,female
Anik,male
Anika,female
Anil,male
Anina,female
Anis,male
Anisa,female
Anita,female
Anja,female
Anke,female
Anna,female
Annabel,female
Annabell,female
Annabella,female
Annabelle,female
Anna-Katharina,female
Annalena,female
Anna-Lena,female
Anna-Lisa,female
Annamaria,female
Anna-Maria,female
Anna-Marie,female
Anna-Sophia,female
Anna-Sophie,female
Anna-Theresa,female
Anne,female
Annelie,female
Anneliese,female
Annemarie,female
Annette,female
Annika,female
Annina,female
Ann-Kathrin,female
Anouk,female
Anselm,male
Anthony,male
Anton,male
Antonella,female
Antoni,male
Antonia,female
Antonio,male
Antonius,male
Anuar,male
Aram,male
Aras,male
Arda,male
Aren,male
Ares,male
Ari,male
Aria,female
Arian,male
Ariana,female
Ariane,female
Arif,male
Arijan,male
Arik,male
Arion,male
Aris,male
Arlind,male
Arman,male
Armando,male
Armin,male
Arno,male
Arnold,male
Aron,male
Arthur,male
Artin,male
Artur,male
Arya,female
Aryan,male
Asaf,male
Asel,female
Ashley,female
Asja,female
Asli,female
Asma,female
Asmin,female
Astrid,female
Asya,female
Ata,male
Atakan,male
Atilla,male
Attila,male
August,male
Augustin,male
Aurel,male
Aurelia,female
Aurelian,male
Aurelie,female
Aurelio,male
Aurora,female
Ava,female
Axel,male
Aya,female
Ayan,male
Ayaz,male
Ayla,female
Ayleen,female
Aylin,female
Ayman,male
Ayse,female
Aysenur,female
Azad,male
Aziz,male
Azra,female
Bahar,female
Balthasar,male
Baran,male
Barbara,female
Baris,male
Bastian,male
Batuhan,male
Bayram,male
Beate,female
Beatrice,female
Beatrix,female
Bedirhan,male
Bekir,male
Bela,male
Belinay,female
Belinda,female
Bella,female
Ben,male
Bence,male
Benedict,male
Benedikt,male
Benett,male
Benita,female
Benjamin,male
Bennet,male
Benno,male
Berat,male
Berdan,male
Beren,female
Berfin,female
Berk,male
Berkan,male
Berkant,male
Berkay,male
Berke,male
Bernadette,female
Bernd,male
Bernhard,male
Berra,female
Bertram,male
Bettina,female
Betül,female
Beytullah,male
Beyza,female
Bianca,female
Bianka,female
Bilal,male
Birgit,female
Björn,male
Bogdan,male
Bojan,male
Boran,male
Boris,male
Botond,male
Brian,male
Brigitte,female
Britta,female
Bruno,male
Bryan,male
Bugra,male
Bünyamin,male
Burak,male
Büsra,female
Cäcilia,female
Caleb,male
Calvin,male
Camilla,female
Camillo,male
Can,male
Caner,male
Cansu,female
Cara,female
Carina,female
Carl,male
Carla,female
Carlo,male
Carlos,male
Carlotta,female
Carmen,female
Carola,female
Carolin,female
Carolina,female
Caroline,female
Caspar,male
Cassandra,female
Cataleya,female
Catalina,female
Caterina,female
Catharina,female
Catherina,female
Catherine,female
Cathrin,female
Cecilia,female
Cedric,male
Celin,female
Celina,female
Celine,female
Cem,male
Ceren,female
Ceyda,female
Ceylin,female
Chantal,female
Charlotte,female
Chayenne,female
Cheyenne,female
Chiara,female
Chloe,female
Chris,male
Christa,female
Christian,male
Christiana,female
Christiane,female
Christin,female
Christina,female
Christine,female
Christof,male
Christofer,male
Christoph,male
Christopher,male
Ciara,female
Cihan,male
Cinar,male
Cindy,female
Claire,female
Clara,female
Clarissa,female
Claudia,female
Claudio,male
Claus,male
Clea,female
Clemens,male
Cleo,female
Colin,male
Collin,male
Connor,male
Conrad,male
Constantin,male
Constanze,female
Cora,female
Cordula,female
Corina,female
Corinna,female
Cornelia,female
Cornelius,male
Cosima,female
Cristiano,male
Cynthia,female
Dagmar,female
Dajana,female
Dalia,female
Damaris,female
Damian,male
Damien,male
Damir,male
Damjan,male
Damla,female
Dana,female
Dani,male
Daniel,male
Daniela,female
Danijel,male
Danilo,male
Danis,male
Danny,male
Daria,female
Darian,male
Dario,male
Daris,male
Darius,male
Darko,male
David,male
Davin,male
Davina,female
Davud,male
Dawid,male
Dea,female
Dean,male
Debora,female
Deborah,female
Defne,female
Dejan,male
Delia,female
Demian,male
Demir,male
Deni,male
Denis,male
Denisa,female
Denise,female
Deniz,male
Deniz,female
Dennis,male
Denny,male
Derya,female
Desiree,female
Devin,male
Devran,male
Diana,female
Diar,male
Diego,male
Dieter,male
Dietmar,male
Dijana,female
Dijar,male
Dila,female
Dilan,female
Dilara,female
Dimitri,male
Din,male
Dina,female
Dino,male
Dion,male
Diyar,male
Dogukan,male
Domenic,male
Domenik,male
Dominic,male
Dominik,male
Dominika,female
Dominique,male
Dominique,female
Dora,female
Doreen,female
Dorian,male
Dorina,female
Doris,female
Dorothea,female
Dragan,male
Dua,female
Dunja,female
Dusan,male
Dustin,male
Dylan,male
Ebrar,female
Ebru,female
Ebubekir,male
Ece,female
Ecrin,female
Eda,female
Edda,female
Edgar,male
Edi,male
Edin,male
Edina,female
Edis,male
Edith,female
Ediz,male
Edon,male
Eduard,male
Edvin,male
Edward,male
Edwin,male
Efe,male
Ege,male
Egemen,male
Egon,male
Eileen,female
Ekrem,male
Ela,female
Elaine,female
Elanur,female
Eldar,male
Eldin,male
Elea,female
Eleanor,female
Elena,female
Eleni,female
Elenor,female
Eleonora,female
Eleonore,female
Elfriede,female
Elia,male
Eliah,male
Elian,male
Eliana,female
Elias,male
Elif,female
Elija,male
Elijah,male
Elin,female
Elina,female
Elio,male
Elion,male
Elis,female
Elisa,female
Elisabeth,female
Elise,female
Elissa,female
Eliza,female
Elizabeth,female
Elke,female
Ella,female
Ellen,female
Ellena,female
Elli,female
Ellie,female
Elliot,male
Elma,female
Elmar,male
Elmin,male
Elsa,female
Elvin,male
Elvira,female
Elvis,male
Elyas,male
Elyesa,male
Ema,female
Eman,male
Emanuel,male
Emanuela,female
Emelie,female
Emely,female
Emil,male
Emili,female
Emilia,female
Emilian,male
Emilie,female
Emilija,female
Emilijan,male
Emilio,male
Emily,female
Emin,male
Emina,female
Emine,female
Emir,male
Emirhan,male
Emma,female
Emmanuel,male
Emrah,male
Emre,male
Ena,female
Endrit,male
Enes,male
Engelbert,male
Enis,male
Enna,female
Ennio,male
Enrico,male
Ensar,male
Enya,female
Enzo,male
Eray,male
Erdem,male
Eren,male
Eric,male
Erich,male
Erik,male
Erika,female
Erina,female
Erion,male
Ermin,male
Erna,female
Ernst,male
Erol,male
Ertugrul,male
Erva,female
Erwin,male
Esila,female
Eslem,female
Esma,female
Esmanur,female
Esra,female
Estella,female
Estelle,female
Ester,female
Esther,female
Ethan,male
Etienne,male
Eugen,male
Eva,female
Eva-Maria,female
Evelin,female
Eveline,female
Evelyn,female
Evelyne,female
Ewald,male
Eylül,female
Eymen,male
Eyüp,male
Ezgi,female
Ezra,male
Fabian,male
Fabienne,female
Fabio,male
Fabiola,female
Fabrice,male
Fabrizio,male
Fanni,female
Fanny,female
Farah,female
Faris,male
Faruk,male
Fatih,male
Fatima,female
Fatma,female
Felia,female
Felicia,female
Felicitas,female
Felipe,male
Felix,male
Ferdinand,male
Ferhat,male
Fernando,male
Feyza,female
Filip,male
Filippa,female
Fineas,male
Finja,female
Finley,male
Finn,male
Fiona,female
Firat,male
Flora,female
Florentin,male
Florentina,female
Florentine,female
Florian,male
Florin,male
Florina,female
Francesca,female
Francesco,male
Franco,male
Frank,male
Franka,female
Franz,male
Franziska,female
Franz-Josef,male
Frederic,male
Frederick,male
Frederik,male
Freya,female
Frida,female
Fridolin,male
Frieda,female
Friedegund,female
Friederike,female
Friedrich,male
Fritz,male
Furkan,male
Fynn,male
Gabriel,male
Gabriela,female
Gabriele,female
Gabriella,female
Gabrijel,male
Gamze,female
Georg,male
George,male
Gerald,male
Gerd,male
Gerda,female
Gerhard,male
Gerlinde,female
Gernot,male
Gerold,male
Gert,male
Gertraud,female
Gerwin,male
Gianluca,male
Gideon,male
Gilbert,male
Gina,female
Giovanni,male
Gisela,female
Giulia,female
Giuliana,female
Giuliano,male
Gizem,female
Gloria,female
Gökhan,male
Göktug,male
Goran,male
Görkem,male
Gottfried,male
Grace,female
Gregor,male
Greta,female
Gudrun,female
Guido,male
Güney,male
Günter,male
Günther,male
Gustav,male
Haci,male
Hadi,male
Hafsa,female
Hagen,male
Hailey,female
Hakan,male
Halid,male
Halil,male
Halima,female
Hamza,male
Hana,female
Hanifa,female
Hanna,female
Hannah,female
Hannelore,female
Hannes,male
Hanno,male
Hans,male
Hansjörg,male
Hans-Jörg,male
Hans-Jürgen,male
Hanspeter,male
Hans-Peter,male
Harald,male
Haris,male
Harry,male
Harun,male
Hasan,male
Hassan,male
Hatice,female
Hava,female
Havin,female
Havva,female
Hazal,female
Hedwig,female
Heidemarie,female
Heidi,female
Heidrun,female
Heike,female
Heiko,male
Heimo,male
Heinrich,male
Heinz,male
Helen,female
Helena,female
Helene,female
Helga,female
Helin,female
Hellena,female
Helmut,male
Hemma,female
Hendrik,male
Henri,male
Henrik,male
Henry,male
Herbert,male
Hermann,male
Hermine,female
Herwig,male
Hilal,female
Hildegard,female
Hira,female
Hiranur,female
Horst,male
Hubert,male
Hugo,male
Hümeyra,female
Hüseyin,male
Hussein,male
Ian,male
Ianis,male
Ibrahim,male
Ida,female
Idris,male
Igor,male
Ikra,female
Ilayda,female
Ilhan,male
Ilian,male
Ilias,male
Ilija,male
Ilja,male
Ilona,female
Ilse,female
Ilvie,female
Ilvy,female
Ilyas,male
Iman,female
Immanuel,male
Imran,male
Ina,female
Inara,female
Indira,female
Ines,female
Ingo,male
Ingrid,female
Irem,female
Irena,female
Irene,female
Irina,female
Iris,female
Irma,female
Irmgard,female
Isa,male
Isaac,male
Isaak,male
Isabel,female
Isabell,female
Isabella,female
Isabelle,female
Isak,male
Ishak,male
Islam,male
Ismael,male
Ismail,male
Isolde,female
Isra,female
Iva,female
Ivan,male
Ivana,female
Ivano,male
Ivo,male
Ivona,female
Ivonne,female
Ivy,female
Jack,male
Jacob,male
Jacqueline,female
Jaden,male
Jakob,male
Jakov,male
Jakub,male
Jamal,male
James,male
Jamie,male
Jan,male
Jana,female
Janet,female
Janette,female
Janick,male
Janik,male
Janin,female
Janina,female
Janine,female
Janis,male
Jan-Luca,male
Jannick,male
Jannik,male
Jannis,male
Janosch,male
Jaqueline,female
Jara,female
Jaron,male
Jasin,male
Jasmin,female
Jasmina,female
Jasmine,female
Jason,male
Jasper,male
Jayden,male
Jeanette,female
Jeanine,female
Jeannine,female
Jeffrey,male
Jelena,female
Jennifer,female
Jenny,female
Jens,male
Jeremia,male
Jeremias,male
Jeremy,male
Jerome,male
Jesse,male
Jessica,female
Jimmy,male
Joachim,male
Joana,female
Joanna,female
Jochen,male
Jodok,male
Joel,male
Joelle,female
Joey,male
Johan,male
Johann,male
Johanna,female
Johannes,male
John,male
Jolanda,female
Joleen,female
Jolina,female
Jon,male
Jona,male
Jona,female
Jonah,male
Jonas,male
Jonatan,male
Jonathan,male
Jordan,male
Jörg,male
Joris,male
Josef,male
Josefa,female
Josefin,female
Josefina,female
Josefine,female
Joseph,male
Josephina,female
Josephine,female
Joshua,male
Josip,male
Josua,male
Jovan,male
Jovana,female
Joy,female
Juan,male
Judith,female
Julia,female
Julian,male
Juliana,female
Juliane,female
Julie,female
Julien,male
Julijan,male
Julius,male
Juna,female
Jürgen,male
Juri,male
Justin,male
Justine,female
Justus,male
Jusuf,male
Jutta,female
Kaan,male
Kacper,male
Kadir,male
Kai,male
Kaja,female
Kajetan,male
Kalina,female
Kamil,male
Karam,male
Karim,male
Karin,female
Karina,female
Karl,male
Karla,female
Karlheinz,male
Karl-Heinz,male
Karlo,male
Karol,male
Karolin,female
Karolina,female
Karoline,female
Kaspar,male
Katarina,female
Katharina,female
Katherina,female
Kathleen,female
Kathrin,female
Katja,female
Katrin,female
Kay,male
Kaya,female
Kayra,male
Kayra,female
Keanu,male
Kemal,male
Kenan,male
Kenneth,male
Kerem,male
Kerim,male
Kerstin,female
Kevin,male
Khadija,female
Khaled,male
Khalid,male
Kian,male
Kiana,female
Kiano,male
Kiara,female
Kilian,male
Killian,male
Kim,female
Kimberley,female
Kimberly,female
Kimi,male
Kira,female
Kiyan,male
Klara,female
Klaudia,female
Klaus,male
Klea,female
Klemens,male
Konrad,male
Konstantin,male
Konstanze,female
Koray,male
Korbinian,male
Kornelia,female
Kosta,male
Kristian,male
Kristijan,male
Kristin,female
Kristina,female
Kristof,male
Kübra,female
Kurt,male
Kuzey,male
Kyra,female
Laetitia,female
Laila,female
Lajla,female
Lamija,female
Lana,female
Lara,female
Lara-Marie,female
Lara-Sophie,female
Larisa,female
Larissa,female
Lars,male
Laura,female
Laura-Marie,female
Laura-Sophie,female
Laureen,female
Lauren,female
Laurena,female
Laurence,male
Laurens,male
Laurent,male
Laurenz,male
Laurin,male
Lavin,female
Lavinia,female
Layla,female
Lazar,male
Lea,female
Leah,female
Lea-Marie,female
Lean,male
Leana,female
Leander,male
Leandra,female
Leandro,male
Leano,male
Leart,male
Lea-Sophie,female
Ledion,male
Leia,female
Leila,female
Lejla,female
Lena,female
Lena-Maria,female
Lena-Marie,female
Lenard,male
Lena-Sophie,female
Leni,female
Lenia,female
Lenja,female
Lennard,male
Lennart,male
Lennox,male
Lenny,male
Lenz,male
Leo,male
Leon,male
Leona,female
Leonard,male
Leonardo,male
Leonas,male
Leonhard,male
Leoni,female
Leonid,male
Leonidas,male
Leonie,female
Leonie-Sophie,female
Leonis,male
Leonita,female
Leonora,female
Leonore,female
Leontina,female
Leopold,male
Leticia,female
Letizia,female
Levent,male
Levente,male
Levi,male
Levin,male
Lewin,male
Lewis,male
Leya,female
Leyla,female
Lia,female
Liah,female
Liam,male
Lian,male
Liana,female
Liane,female
Liara,female
Lias,male
Liesa,female
Lieselotte,female
Lijana,female
Lila,female
Lili,female
Lilia,female
Lilian,female
Liliana,female
Liliane,female
Lilien,female
Lilith,female
Lilli,female
Lillian,female
Lilly,female
Lilo,female
Lily,female
Lina,female
Linda,female
Linnea,female
Lino,male
Linus,male
Lio,male
Lion,male
Lionel,male
Lisa,female
Lisa-Maria,female
Lisa-Marie,female
Lisa-Sophie,female
Lisbeth,female
Liselotte,female
Liv,female
Livia,female
Livio,male
Liya,female
Liza,female
Logan,male
Lola,female
Lora,female
Loreen,female
Lorena,female
Lorenz,male
Lorenzo,male
Lorian,male
Lorik,male
Lorin,male
Lorin,female
Lorina,female
Loris,male
Lotta,female
Lotte,female
Louie,male
Louis,male
Louisa,female
Louise,female
Luan,male
Luana,female
Luca,male
Luca,female
Lucas,male
Lucca,male
Lucia,female
Lucian,male
Lucie,female
Lucien,male
Lucy,female
Ludwig,male
Lui,male
Luis,male
Luisa,female
Luise,female
Luka,male
Lukas,male
Luke,male
Luna,female
Luzia,female
Lydia,female
Maddox,male
Madelaine,female
Madeleine,female
Madeline,female
Madita,female
Madleen,female
Madlen,female
Madlene,female
Magdalena,female
Magnus,male
Mahdi,male
Mahir,male
Mahmoud,male
Mahmut,male
Maia,female
Maid,male
Maida,female
Maik,male
Maja,female
Maksim,male
Malak,female
Malea,female
Malek,male
Malena,female
Malia,female
Malik,male
Malin,female
Malina,female
Manfred,male
Mansur,male
Manuel,male
Manuela,female
Mara,female
Marc,male
Marc-Andre,male
Marcel,male
Marcell,male
Marcella,female
Marcello,male
Marco,male
Marcus,male
Mareike,female
Maren,female
Margareta,female
Margarete,female
Margaretha,female
Margarethe,female
Margarita,female
Margit,female
Margot,female
Margret,female
Maria,female
Mariam,female
Maria-Magdalena,female
Marian,male
Mariana,female
Marianna,female
Marianne,female
Marie,female
Marie-Christin,female
Marie-Christine,female
Marie-Kristin,female
Mariella,female
Marielle,female
Marie-Louise,female
Marie-Luise,female
Marie-Sophie,female
Marie-Theres,female
Marie-Therese,female
Marietta,female
Marija,female
Marijan,male
Marijana,female
Marika,female
Marilena,female
Marin,male
Marina,female
Mario,male
Marion,female
Marisa,female
Marissa,female
Marita,female
Marius,male
Mark,male
Marko,male
Markus,male
Marla,female
Marleen,female
Marlen,female
Marlena,female
Marlene,female
Marlies,female
Marlis,female
Marlon,male
Marta,female
Martha,female
Martin,male
Martina,female
Marvin,male
Marwa,female
Marwin,male
Maryam,female
Masa,female
Masal,female
Massimo,male
Mate,male
Matea,female
Matei,male
Matej,male
Mateja,male
Mateo,male
Mathea,female
Matheo,male
Mathias,male
Mathilda,female
Mathilde,female
Mathis,male
Matias,male
Matija,male
Matilda,female
Matin,male
Mats,male
Mattea,female
Matteo,male
Matthäus,male
Mattheo,male
Matthew,male
Matthias,male
Matti,male
Mattia,male
Mattias,male
Mattis,male
Maurice,male
Mavie,female
Max,male
Maxim,male
Maxima,female
Maximilian,male
Maximillian,male
Maya,female
Mayla,female
Medin,male
Medina,female
Medine,female
Mehdi,male
Mehmed,male
Mehmet,male
Melanie,female
Melda,female
Melek,female
Melia,female
Melih,male
Melike,female
Melina,female
Melinda,female
Melis,female
Melisa,female
Melissa,female
Melody,female
Melvin,male
Mercedes,female
Merjem,female
Merlin,male
Mert,male
Merve,female
Meryem,female
Mete,male
Metehan,male
Metin,male
Meyra,female
Mia,female
Mia-Sophie,female
Micha,male
Michael,male
Michaela,female
Michel,male
Michele,male
Michele,female
Michelle,female
Miguel,male
Mihael,male
Mihailo,male
Mihajlo,male
Mika,male
Mikael,male
Mikail,male
Mike,male
Mila,female
Milad,male
Milan,male
Milena,female
Milica,female
Milla,female
Milo,male
Milos,male
Mina,female
Minna,female
Mio,male
Mira,female
Mirac,male
Miran,male
Miray,female
Mirella,female
Miriam,female
Mirijam,female
Mirjam,female
Mirko,male
Mirza,male
Mohamad,male
Mohamed,male
Mohammad,male
Mohammed,male
Mona,female
Monika,female
Monique,female
Monja,female
Moritz,male
Moriz,male
Morris,male
Moses,male
Muhamed,male
Muhammad,male
Muhammed,male
Muhammet,male
Murat,male
Musa,male
Musab,male
Mustafa,male
Nada,female
Nadia,female
Nadija,female
Nadin,female
Nadine,female
Nadja,female
Nael,male
Naemi,female
Nail,male
Naila,female
Naima,female
Najla,female
Nala,female
Naomi,female
Narin,female
Natalia,female
Natalie,female
Natalija,female
Natan,male
Natasa,female
Natascha,female
Nathalie,female
Nathan,male
Nathanael,male
Nathaniel,male
Nazli,female
Nedim,male
Neele,female
Nehir,female
Nejla,female
Nela,female
Nele,female
Nelio,male
Nelly,female
Nelson,male
Nemanja,male
Nena,female
Nenad,male
Neo,male
Nepomuk,male
Nevio,male
Neyla,female
Nicholas,male
Nick,male
Nicklas,male
Niclas,male
Nico,male
Nicol,female
Nicola,male
Nicola,female
Nicolai,male
Nicolas,male
Nicole,female
Niels,male
Nik,male
Nika,female
Niki,male
Nikita,male
Nikita,female
Niklas,male
Niko,male
Nikodem,male
Nikola,male
Nikola,female
Nikolai,male
Nikolaj,male
Nikolas,male
Nikolaus,male
Nikolina,female
Nils,male
Nina,female
Nino,male
Nisa,female
Nisanur,female
Noa,male
Noa,female
Noah,male
Noam,male
Noar,male
Noel,male
Noelle,female
Noemi,female
Nora,female
Norah,female
Norbert,male
Nour,female
Novak,male
Ognjen,male
Oguzhan,male
Okan,male
Oliver,male
Olivia,female
Olivier,male
Oliwia,female
Omar,male
Omer,male
Ömer,male
Onur,male
Ophelia,female
Oscar,male
Oskar,male
Osman,male
Otto,male
Öykü,female
Ozan,male
Özge,female
Pablo,male
Pamela,female
Pamina,female
Paola,female
Paolo,male
Pascal,male
Patric,male
Patricia,female
Patrick,male
Patrik,male
Patrizia,female
Paul,male
Paula,female
Paulina,female
Pauline,female
Pavle,male
Pelin,female
Penelope,female
Petar,male
Peter,male
Petra,female
Phil,male
Phileas,male
Philip,male
Philipp,male
Philippa,female
Philippe,male
Phillip,male
Phillipp,male
Philomena,female
Phoebe,female
Pia,female
Pia-Maria,female
Pierre,male
Pirmin,male
Pius,male
Poyraz,male
Priska,female
Quentin,male
Quirin,male
Rabia,female
Rachel,female
Rafael,male
Rafaela,female
Raffael,male
Raffaela,female
Rahel,female
Rahela,female
Raimund,male
Rainer,male
Rainhard,male
Rajana,female
Ralf,male
Ralph,male
Ramazan,male
Rami,male
Ramin,male
Ramon,male
Ramona,female
Rana,female
Rania,female
Raoul,male
Raphael,male
Raphaela,female
Raul,male
Ravza,female
Rayan,male
Rebeca,female
Rebecca,female
Rebeka,female
Rebekka,female
Recep,male
Regina,female
Reinhard,male
Reinhold,male
Rejan,male
Remo,male
Renate,female
Rene,male
Renee,female
Resul,male
Reyyan,female
Rhea,female
Ria,female
Rian,male
Ricarda,female
Ricardo,male
Riccarda,female
Riccardo,male
Richard,male
Rico,male
Rinor,male
Rion,male
Rita,female
Robert,male
Roberto,male
Robin,male
Roland,male
Roman,male
Romana,female
Romed,male
Romeo,male
Romina,female
Romy,female
Rona,female
Ronald,male
Roni,male
Ronja,female
Ronny,male
Rosa,female
Rosalie,female
Rosemarie,female
Rosina,female
Rosmarie,female
Roswitha,female
Roxana,female
Ruben,male
Rubina,female
Ruby,female
Rudolf,male
Rumeysa,female
Rümeysa,female
Rupert,male
Ruth,female
Rüya,female
Rüzgar,male
Ryan,male
Sabina,female
Sabine,female
Sabrina,female
Safia,female
Safiya,female
Sahra,female
Said,male
Salih,male
Salim,male
Salma,female
Salome,female
Sam,male
Samanta,female
Samantha,female
Samara,female
Samed,male
Samet,male
Sami,male
Samir,male
Samira,female
Samu,male
Samuel,male
Samy,male
Sana,female
Sandra,female
Sandrina,female
Sandro,male
Sanel,male
Sanela,female
Sanja,female
Sanna,female
Santiago,male
Santino,male
Saphira,female
Sara,female
Sarah,female
Sarah-Maria,female
Sare,female
Sarina,female
Sasa,male
Sascha,male
Saskia,female
Sayfullah,male
Scarlett,female
Sean,male
Sebastian,male
Sefa,male
Selen,female
Selena,female
Selim,male
Selin,female
Selina,female
Seline,female
Selma,female
Selman,male
Sema,female
Semih,male
Semin,male
Semir,male
Sena,female
Serafin,male
Serafina,female
Seraphina,female
Serena,female
Sergej,male
Serhat,male
Serkan,male
Severin,male
Sevval,female
Seyit,male
Seyma,female
Shania,female
Sharon,female
Sheila,female
Shirin,female
Sibel,female
Sibylle,female
Siegfried,male
Sigrid,female
Sila,female
Silas,male
Silke,female
Silvan,male
Silvana,female
Silvester,male
Silvia,female
Silvio,male
Simeon,male
Simon,male
Simona,female
Simone,female
Sina,female
Sinan,male
Sinem,female
Sirac,male
Sofia,female
Sofie,female
Sofija,female
Sonia,female
Sonja,female
Sophia,female
Sophie,female
Sophie-Marie,female
Soraya,female
Stanislaus,male
Stefan,male
Stefania,female
Stefanie,female
Stefano,male
Stella,female
Stephan,male
Stephanie,female
Steve,male
Steven,male
Sude,female
Sudenaz,female
Suela,female
Süleyman,male
Sumaya,female
Sumeja,female
Sümeyye,female
Susanna,female
Susanne,female
Svea,female
Sven,male
Svenja,female
Sybille,female
Sylvia,female
Szymon,male
Tabea,female
Taha,male
Tahir,male
Taim,male
Tala,female
Talha,male
Talia,female
Tamara,female
Tamina,female
Tamino,male
Tanja,female
Tara,female
Tarek,male
Tarik,male
Tasnim,female
Tassilo,male
Tatjana,female
Tea,female
Teo,male
Teodor,male
Teodora,female
Teoman,male
Teresa,female
Tessa,female
Thea,female
Theo,male
Theodor,male
Theodora,female
Theres,female
Theresa,female
Therese,female
Theresia,female
Thiago,male
Thiemo,male
Thomas,male
Thorsten,male
Tiago,male
Tian,male
Tiana,female
Tiara,female
Tiffany,female
Tijana,female
Tilda,female
Till,male
Tim,male
Timea,female
Timna,female
Timo,male
Timon,male
Timotei,male
Timotheus,male
Timothy,male
Timur,male
Tina,female
Tino,male
Tizian,male
Tobias,male
Tolga,male
Tom,male
Tomas,male
Tommy,male
Toni,male
Tony,male
Toprak,male
Torsten,male
Tristan,male
Tuana,female
Tugba,female
Tugce,female
Tuna,male
Tunahan,male
Tyler,male
Udo,male
Ugur,male
Ulla,female
Ulrich,male
Ulrike,female
Umar,male
Umut,male
Una,female
Uros,male
Ursula,female
Ute,female
Utku,male
Uwe,male
Valentin,male
Valentina,female
Valentino,male
Valeria,female
Valerian,male
Valerie,female
Valerio,male
Vanesa,female
Vanessa,female
Vasilije,male
Vedad,male
Veit,male
Veljko,male
Vera,female
Verena,female
Veronica,female
Veronika,female
Victor,male
Victoria,female
Viktor,male
Viktoria,female
Viktorija,female
Vincent,male
Vincenz,male
Vinzent,male
Vinzenz,male
Viola,female
Violetta,female
Virginia,female
Vito,male
Vitus,male
Vivian,female
Viviana,female
Viviane,female
Vivien,female
Vivienne,female
Vladimir,male
Volkan,male
Volker,male
Vuk,male
Walter,male
Waltraud,female
Wendelin,male
Wenzel,male
Werner,male
Wiktor,male
Wilfried,male
Wilhelm,male
Willi,male
William,male
Willibald,male
Wilma,female
Wolfgang,male
Wolfram,male
Xaver,male
Xavier,male
Xenia,female
Yagiz,male
Yagmur,female
Yahya,male
Yakub,male
Yakup,male
Yaman,male
Yanik,male
Yanis,male
Yannic,male
Yannick,male
Yannik,male
Yannis,male
Yara,female
Yaren,female
Yasar,male
Yasemin,female
Yasin,male
Yasir,male
Yasmin,female
Yasmina,female
Yasmine,female
Yassin,male
Yavuz,male
Yigit,male
Ylva,female
Ylvi,female
Ylvie,female
Yosef,male
Younes,male
Yousef,male
Youssef,male
Yuna,female
Yunus,male
Yusuf,male
Yvonne,female
Zacharias,male
Zahra,female
Zain,male
Zainab,female
Zara,female
Zehra,female
Zeliha,female
Zeno,male
Zeyd,male
Zeyneb,female
Zeynep,female
Zita,female
Zoe,female
Zoey,female
Zoran,male
Zümra,female
Zuzanna,female
